angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.0,"(93, 195, 229, 229)",0.0,0.0,0.0,0.98,0.02,0.0
0.0,"(94, 196, 229, 229)",0.0,0.01,0.0,0.95,0.04,0.0
0.0,"(92, 193, 231, 231)",0.0,0.01,0.0,0.98,0.01,0.0
0.01,"(92, 198, 220, 220)",0.0,0.02,0.0,0.95,0.02,0.0
0.0,"(91, 192, 233, 233)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(92, 193, 231, 231)",0.0,0.0,0.0,0.99,0.0,0.0
0.01,"(91, 193, 232, 232)",0.0,0.01,0.0,0.98,0.01,0.0
0.0,"(92, 193, 232, 232)",0.0,0.0,0.0,0.98,0.01,0.0
0.0,"(92, 192, 233, 233)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(92, 192, 233, 233)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(92, 192, 233, 233)",0.0,0.0,0.0,0.99,0.0,0.0
0.01,"(91, 191, 234, 234)",0.0,0.0,0.0,0.98,0.01,0.0
0.01,"(92, 197, 220, 220)",0.0,0.01,0.0,0.97,0.01,0.0
0.0,"(92, 190, 234, 234)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(92, 189, 234, 234)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(91, 189, 235, 235)",0.0,0.0,0.0,0.99,0.0,0.0
0.01,"(92, 193, 226, 226)",0.0,0.0,0.0,0.98,0.0,0.0
0.01,"(93, 190, 234, 234)",0.0,0.0,0.0,0.98,0.0,0.0
0.01,"(93, 190, 235, 235)",0.0,0.0,0.0,0.98,0.0,0.0
0.0,"(93, 192, 233, 233)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(94, 192, 232, 232)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(93, 192, 233, 233)",0.0,0.0,0.0,0.99,0.0,0.0
0.01,"(94, 192, 232, 232)",0.0,0.0,0.0,0.98,0.0,0.0
0.01,"(94, 192, 232, 232)",0.0,0.0,0.0,0.98,0.0,0.0
0.01,"(94, 191, 233, 233)",0.0,0.0,0.0,0.98,0.0,0.0
0.0,"(94, 190, 233, 233)",0.0,0.0,0.0,0.99,0.0,0.0
0.01,"(93, 190, 234, 234)",0.0,0.0,0.0,0.98,0.0,0.0
0.0,"(92, 189, 234, 234)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(91, 189, 234, 234)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(91, 188, 235, 235)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(91, 188, 236, 236)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(93, 190, 233, 233)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(92, 190, 233, 233)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(92, 190, 234, 234)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(91, 189, 235, 235)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(92, 190, 234, 234)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(93, 191, 232, 232)",0.0,0.0,0.0,0.99,0.0,0.0
